id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
233311,27094,YOOM,5636,98,ASP,1,0,12,-28.09429931640625,140.1909942626953,143,127,,30,-28.103599548339844,140.2050018310547,124,307,
233312,26973,YDMG,5433,98,ASP,1,0,12,-17.93320083618164,138.80799865722656,,120,30,30,-17.940799713134766,138.8209991455078,,300,30
233313,27003,YHBA,6561,98,ASP,1,0,11,-25.315500259399414,152.8719940185547,55,119,,29,-25.324199676513672,152.88900756835938,51,299,
233314,26952,YCGO,3218,60,ASP,0,0,17,-17.133452,144.528369,,177,,35,-17.142299,144.528787,,357,
233315,27109,YPKS,5525,148,ASP,1,0,04,-33.13719940185547,148.2310028076172,1029,55,,22,-33.128501892089844,148.2449951171875,1067,235,
233316,27109,YPKS,5322,98,ASP,0,0,11,-33.12480163574219,148.22999572753906,1033,124,,29,-33.133201599121094,148.2449951171875,1069,304,568
233317,26934,YBTL,7999,148,ASP,1,0,01,-19.25830078125,146.76499938964844,18,24,,19,-19.23819923400879,146.7740020751953,13,204,
233318,26934,YBTL,3609,98,ASP,1,0,07,-19.255800247192383,146.75599670410156,12,74,,25,-19.25309944152832,146.76600646972656,14,254,
233319,27026,YKOW,4528,98,ASP,1,0,12,-15.482399940490723,141.7469940185547,34,120,,30,-15.48859977722168,141.75799560546875,35,300,
233322,26965,YCTM,2805,98,GRS,0,0,10,-34.62419891357422,148.0290069580078,1096,111,,28,-34.62689971923828,148.03700256347656,1108,291,
233323,26965,YCTM,4682,60,ASP,1,0,16,-34.617183685302734,148.03564453125,1102,174,,34,-34.6297492980957,148.03744506835938,1109,354,985
233324,27074,YMRB,5000,98,ASP,1,0,16,-22.051300048828125,148.0749969482422,729,171,,34,-22.065000534057617,148.07699584960938,770,351,
233325,26900,YBAS,7999,148,ASP,1,0,12,-23.801000595092773,133.89300537109375,1786,120,,30,-23.81209945678711,133.91400146484375,1763,300,
233326,26900,YBAS,3717,60,ASP,1,0,17,-23.797300338745117,133.88699340820312,1789,178,,35,-23.8075008392334,133.88699340820312,1778,358,
233327,27016,YIVL,2297,60,GRS,0,0,04,-29.892507,151.137777,,51,,22,-29.889299,151.143997,,231,
233328,27016,YIVL,6936,98,ASP,1,0,16,-29.878599166870117,151.14300537109375,2594,170,,34,-29.89739990234375,151.14700317382812,2667,350,
233329,27107,YPKA,7480,148,ASP,1,0,08,-20.714025497436523,116.76470947265625,30,83,,26,-20.71173858642578,116.78643798828125,20,263,
233330,27184,YWYY,2516,98,paved,0,0,05,-40.99810028076172,145.72300720214844,61,65,,23,-40.995201110839844,145.7310028076172,62,245,50
233331,27184,YWYY,5413,98,ASP,1,0,09,-40.99679946899414,145.7239990234375,62,99,,27,-40.99919891357422,145.7429962158203,33,279,
233332,27096,YPAD,10171,148,ASP,1,0,05,-34.9585,138.516998,14,50,492,23,-34.940601,138.542999,20,230,
233333,27096,YPAD,5420,148,ASP,1,0,12,-34.9412,138.522003,14,123,,30,-34.949402,138.537003,14,303,
233336,27035,YLIS,5404,98,ASP,1,0,15,-28.82390022277832,153.2550048828125,35,157,,33,-28.83769989013672,153.26199340820312,31,337,
233337,26895,YAYE,8527,98,ASP,1,0,13,-25.1781005859375,130.9669952392578,1612,130,,31,-25.19300079345703,130.98699951171875,1626,310,
233338,27099,YPBO,6995,148,ASP,1,0,06,-23.175500869750977,117.73699951171875,1374,65,,24,-23.167400360107422,117.75599670410156,1405,245,
233339,27119,YPPH,11299,148,ASP,1,0,03,-31.95870018005371,115.95999908447266,67,14,,21,-31.928600311279297,115.96800231933594,43,194,
233340,27119,YPPH,7096,148,ASP,1,0,06,-31.94099998474121,115.95899963378906,58,59,,24,-31.93090057373047,115.97899627685547,58,239,
233345,26921,YBNS,3612,98,ASP,1,0,04,-37.890308,147.564344,165,55,,22,-37.884672,147.574565,155,235,
233346,26921,YBNS,2789,60,ASP,0,0,14,-37.883393,147.565783,163,145,,32,-37.889656,147.57135,160,325,
233347,26943,YCBA,5564,98,ASP,1,0,05,-31.5415,145.787003,704,55,,23,-31.533216,145.801067,722,235,
233348,26943,YCBA,2949,98,CLA,0,0,17,-31.538084,145.794814,711,175,,35,-31.546301,145.796005,716,355,
233349,27108,YPKG,6562,148,ASP,1,0,11,-30.788299560546875,121.45500183105469,1203,110,,29,-30.794599533081055,121.4739990234375,1147,290,
233350,27108,YPKG,3936,59,ASP,1,0,18,-30.781400680541992,121.46199798583984,1166,185,,36,-30.792200088500977,121.46099853515625,1187,5,
233351,27182,YWWL,2559,60,GVL,0,0,04,-33.939701080322266,147.1929931640625,848,42,,22,-33.93439865112305,147.197998046875,848,222,
233352,27182,YWWL,5200,98,ASP,1,0,09,-33.9379997253418,147.18099975585938,858,99,,27,-33.94020080566406,147.197998046875,841,279,
233353,27135,YSDU,5604,148,ASP,1,0,05,-32.222801208496094,148.56900024414062,935,53,,23,-32.21369934082031,148.58299255371094,903,233,
233354,27135,YSDU,3501,60,ASP,0,0,11,-32.21440124511719,148.572998046875,910,118,,29,-32.21900177001953,148.58299255371094,927,298,
233355,27125,YREN,5709,98,ASP,1,0,07,-34.200401306152344,140.66000366210938,109,74,,25,-34.19609832763672,140.67799377441406,109,254,
233356,27125,YREN,3360,98,GVL,0,0,18,-34.1963996887207,140.6790008544922,112,185,,36,-34.205501556396484,140.67799377441406,110,5,
233357,27130,YSBK,4644,98,ASP,1,0,11C,-33.91960144042969,150.98399353027344,20,124,508,29C,-33.92679977416992,150.99600219726562,26,304,196
233358,27130,YSBK,3419,75,ASP,1,0,11R,-33.921600341796875,150.98500061035156,17,124,,29L,-33.92679977416992,150.99400329589844,22,304,
233359,27130,YSBK,3609,98,ASP,1,0,11L,-33.920101165771484,150.98699951171875,21,124,,29R,-33.92570114135742,150.9969940185547,29,304,
233360,27082,YNBR,3980,98,GRS,0,0,09,-30.313817,149.828939,730,95,,27,-30.314501,149.837006,786,275,
233361,27082,YNBR,5000,98,ASP,1,0,18,-30.3141,149.828003,741,193,,36,-30.329632,149.823474,716,13,
233362,26999,YGTH,4931,98,ASP,1,0,06,-34.25722885131836,146.05181884765625,427,65.8,,24,-34.25094223022461,146.06878662109375,439,245.8,
233363,26999,YGTH,1969,98,GRS,0,0,18,-34.246700286865234,146.06900024414062,442,189,,36,-34.25199890136719,146.0679931640625,444,9,
233367,26928,YBRN,2133,98,GRS,1,0,08,-34.62189865112305,143.5760040283203,,88,,26,-34.621700286865234,143.58299255371094,,268,
233368,26928,YBRN,3888,60,ASP,1,0,18,-34.61949920654297,143.5780029296875,210,186,,36,-34.63010025024414,143.57699584960938,210,6,
233369,27097,YPAG,5413,98,ASP,1,0,15,-32.49810028076172,137.71099853515625,56,159,,33,-32.512001037597656,137.71800231933594,45,339,
233370,27111,YPKU,6000,98,ASP,1,0,12,-15.773858070373535,128.70169067382812,141,119,,30,-15.781999588012695,128.7169952392578,144,299,
233371,26972,YDLQ,3999,98,ASP,1,0,06,-35.561100006103516,144.94000244140625,314,66,,24,-35.55659866333008,144.9530029296875,309,246,
233372,26972,YDLQ,1969,98,GRE,0,0,12,-35.552601,144.942993,309,142,,30,-35.563,144.953128,312,322,
233373,27063,YMLT,6499,148,ASP,1,0,14R,-41.53710174560547,147.20399475097656,560,146,,32L,-41.552101135253906,147.2169952392578,548,326,
233374,27063,YMLT,2297,60,GRS,0,0,14L,-41.54119873046875,147.21400451660156,535,147,,32R,-41.546600341796875,147.218994140625,545,327,
233375,27063,YMLT,2264,60,GRS,0,0,18,-41.53929901123047,147.21800231933594,,196,,36,-41.5452995300293,147.21499633789062,,16,
233376,26909,YBHM,5591,148,ASP,1,0,14,-20.351299285888672,148.94700622558594,15,143,196,32,-20.36359977722168,148.95700073242188,15,323,196
233377,27136,YSGE,4987,98,ASP,1,0,11,-28.046899795532227,148.58900451660156,654,120,,29,-28.05389976501465,148.6020050048828,655,300,
